t_s,v_volt
2.041360e-05,-0.080402
2.041600e-05,-0.080402
2.041840e-05,-0.080402
2.042080e-05,-0.080402
2.042320e-05,-0.080402
2.042560e-05,-0.080402
2.042800e-05,-0.080402
2.043040e-05,-0.080402
2.043280e-05,-0.080402
2.043520e-05,-0.080402
2.043760e-05,-0.080402
2.044000e-05,-0.160804
2.044240e-05,-0.080402
2.044480e-05,-0.080402
2.044720e-05,-0.080402
2.044960e-05,-0.080402
2.045200e-05,-0.080402
2.045440e-05,-0.080402
2.045680e-05,-0.080402
2.045920e-05,-0.080402
2.046160e-05,-0.080402
2.046400e-05,-0.080402
2.046640e-05,-0.080402
2.046880e-05,-0.080402
2.047120e-05,-0.160804
2.047360e-05,-0.080402
2.047600e-05,-0.080402
2.047840e-05,-0.080402
2.048080e-05,-0.080402
2.048320e-05,-0.080402
2.048560e-05,-0.080402
2.048800e-05,-0.080402
2.049040e-05,-0.080402
2.049280e-05,-0.080402
2.049520e-05,-0.080402
2.049760e-05,-0.080402
2.050000e-05,-0.080402
2.050240e-05,-0.080402
2.050480e-05,-0.080402
2.050720e-05,-0.080402
2.050960e-05,-0.080402
2.051200e-05,-0.080402
2.051440e-05,-0.080402
2.051680e-05,-0.080402
2.051920e-05,-0.080402
2.052160e-05,-0.080402
2.052400e-05,-0.080402
2.052640e-05,-0.080402
2.052880e-05,-0.080402
2.053120e-05,-0.080402
2.053360e-05,-0.080402
2.053600e-05,-0.080402
2.053840e-05,-0.080402
2.054080e-05,-0.080402
2.054320e-05,-0.080402
2.054560e-05,-0.080402
2.054800e-05,-0.080402
2.055040e-05,-0.080402
2.055280e-05,-0.080402
2.055520e-05,-0.080402
2.055760e-05,-0.080402
2.056000e-05,-0.080402
2.056240e-05,-0.080402
2.056480e-05,-0.080402
2.056720e-05,-0.080402
2.056960e-05,-0.080402
2.057200e-05,-0.080402
2.057440e-05,-0.080402
2.057680e-05,-0.080402
2.057920e-05,-0.080402
2.058160e-05,-0.080402
2.058400e-05,-0.080402
2.058640e-05,-0.080402
2.058880e-05,-0.080402
2.059120e-05,-0.080402
2.059360e-05,-0.080402
2.059600e-05,-0.080402
2.059840e-05,-0.080402
2.060080e-05,-0.080402
2.060320e-05,-0.080402
2.060560e-05,-0.080402
2.060800e-05,-0.080402
2.061040e-05,-0.080402
2.061280e-05,-0.080402
2.061520e-05,-0.080402
2.061760e-05,-0.080402
2.062000e-05,-0.080402
2.062240e-05,-0.080402
2.062480e-05,-0.080402
2.062720e-05,-0.080402
2.062960e-05,-0.080402
2.063200e-05,-0.080402
2.063440e-05,-0.080402
2.063680e-05,-0.080402
2.063920e-05,-0.080402
2.064160e-05,-0.080402
2.064400e-05,-0.080402
2.064640e-05,-0.080402
2.064880e-05,-0.080402
2.065120e-05,-0.080402
2.065360e-05,-0.080402
2.065600e-05,-0.080402
2.065840e-05,-0.080402
2.066080e-05,-0.080402
2.066320e-05,-0.080402
2.066560e-05,-0.080402
2.066800e-05,-0.080402
2.067040e-05,-0.080402
2.067280e-05,-0.080402
2.067520e-05,-0.080402
2.067760e-05,-0.080402
2.068000e-05,-0.080402
2.068240e-05,-0.080402
2.068480e-05,-0.080402
2.068720e-05,-0.080402
2.068960e-05,-0.080402
2.069200e-05,-0.080402
2.069440e-05,-0.080402
2.069680e-05,-0.080402
2.069920e-05,-0.080402
2.070160e-05,-0.080402
2.070400e-05,-0.080402
2.070640e-05,-0.080402
2.070880e-05,-0.080402
2.071120e-05,-0.080402
2.071360e-05,-0.080402
2.071600e-05,-0.080402
2.071840e-05,-0.080402
2.072080e-05,-0.080402
2.072320e-05,-0.080402
2.072560e-05,-0.080402
2.072800e-05,-0.080402
2.073040e-05,-0.080402
2.073280e-05,-0.080402
2.073520e-05,-0.080402
2.073760e-05,-0.080402
2.074000e-05,-0.080402
2.074240e-05,-0.080402
2.074480e-05,-0.080402
2.074720e-05,-0.080402
2.074960e-05,-0.080402
2.075200e-05,-0.080402
2.075440e-05,-0.080402
2.075680e-05,-0.080402
2.075920e-05,-0.080402
2.076160e-05,-0.080402
2.076400e-05,-0.080402
2.076640e-05,-0.080402
2.076880e-05,-0.080402
2.077120e-05,-0.080402
2.077360e-05,-0.080402
2.077600e-05,-0.080402
2.077840e-05,-0.080402
2.078080e-05,-0.080402
2.078320e-05,-0.080402
2.078560e-05,-0.080402
2.078800e-05,-0.080402
2.079040e-05,-0.080402
2.079280e-05,-0.080402
2.079520e-05,-0.080402
2.079760e-05,-0.080402
2.080000e-05,-0.080402
2.080240e-05,-0.080402
2.080480e-05,-0.080402
2.080720e-05,-0.080402
2.080960e-05,-0.080402
2.081200e-05,-0.080402
2.081440e-05,-0.080402
2.081680e-05,-0.080402
2.081920e-05,-0.080402
2.082160e-05,-0.160804
2.082400e-05,-0.080402
2.082640e-05,-0.080402
2.082880e-05,-0.080402
2.083120e-05,-0.080402
2.083360e-05,-0.080402
2.083600e-05,-0.080402
2.083840e-05,-0.080402
2.084080e-05,-0.160804
2.084320e-05,-0.080402
2.084560e-05,-0.080402
2.084800e-05,-0.080402
2.085040e-05,-0.080402
2.085280e-05,-0.080402
2.085520e-05,-0.080402
2.085760e-05,-0.080402
2.086000e-05,-0.080402
2.086240e-05,-0.080402
2.086480e-05,-0.080402
2.086720e-05,-0.080402
2.086960e-05,-0.080402
2.087200e-05,-0.080402
2.087440e-05,-0.080402
2.087680e-05,-0.080402
2.087920e-05,-0.080402
2.088160e-05,-0.080402
2.088400e-05,-0.080402
2.088640e-05,-0.080402
2.088880e-05,-0.080402
2.089120e-05,-0.080402
2.089360e-05,-0.080402
2.089600e-05,-0.080402
2.089840e-05,-0.080402
2.090080e-05,-0.080402
2.090320e-05,-0.080402
2.090560e-05,-0.160804
2.090800e-05,-0.080402
2.091040e-05,-0.080402
2.091280e-05,-0.080402
2.091520e-05,-0.080402
2.091760e-05,-0.080402
2.092000e-05,-0.080402
2.092240e-05,-0.080402
2.092480e-05,-0.080402
2.092720e-05,-0.080402
2.092960e-05,-0.080402
2.093200e-05,-0.080402
2.093440e-05,-0.080402
2.093680e-05,-0.080402
2.093920e-05,-0.080402
2.094160e-05,-0.080402
2.094400e-05,-0.080402
2.094640e-05,-0.160804
2.094880e-05,-0.080402
2.095120e-05,-0.160804
2.095360e-05,-0.160804
2.095600e-05,-0.160804
2.095840e-05,-0.160804
2.096080e-05,-0.160804
2.096320e-05,-0.080402
2.096560e-05,-0.080402
2.096800e-05,-0.160804
2.097040e-05,-0.080402
2.097280e-05,-0.080402
2.097520e-05,-0.080402
2.097760e-05,-0.080402
2.098000e-05,-0.080402
2.098240e-05,-0.080402
2.098480e-05,-0.080402
2.098720e-05,-0.160804
2.098960e-05,-0.160804
2.099200e-05,-0.080402
2.099440e-05,-0.080402
2.099680e-05,-0.080402
2.099920e-05,-0.160804
2.100160e-05,-0.160804
2.100400e-05,-0.080402
2.100640e-05,-0.080402
2.100880e-05,-0.080402
2.101120e-05,-0.080402
2.101360e-05,-0.080402
2.101600e-05,-0.080402
2.101840e-05,-0.080402
2.102080e-05,-0.160804
2.102320e-05,-0.080402
2.102560e-05,-0.080402
2.102800e-05,-0.080402
2.103040e-05,-0.080402
2.103280e-05,-0.080402
2.103520e-05,-0.080402
2.103760e-05,-0.080402
2.104000e-05,-0.080402
2.104240e-05,-0.080402
2.104480e-05,-0.080402
2.104720e-05,-0.080402
2.104960e-05,-0.080402
2.105200e-05,-0.160804
2.105440e-05,-0.080402
2.105680e-05,-0.080402
2.105920e-05,-0.080402
2.106160e-05,-0.080402
2.106400e-05,-0.080402
2.106640e-05,-0.080402
2.106880e-05,-0.080402
2.107120e-05,-0.160804
2.107360e-05,-0.080402
2.107600e-05,-0.080402
2.107840e-05,-0.080402
2.108080e-05,-0.080402
2.108320e-05,-0.080402
2.108560e-05,-0.080402
2.108800e-05,-0.080402
2.109040e-05,-0.080402
2.109280e-05,-0.080402
2.109520e-05,-0.080402
2.109760e-05,-0.080402
2.110000e-05,-0.080402
2.110240e-05,-0.080402
2.110480e-05,-0.160804
2.110720e-05,-0.160804
2.110960e-05,-0.080402
2.111200e-05,-0.160804
2.111440e-05,-0.160804
2.111680e-05,-0.160804
2.111920e-05,-0.080402
2.112160e-05,-0.160804
2.112400e-05,-0.080402
2.112640e-05,-0.080402
2.112880e-05,-0.080402
2.113120e-05,-0.160804
2.113360e-05,-0.080402
2.113600e-05,-0.080402
2.113840e-05,-0.080402
2.114080e-05,-0.080402
2.114320e-05,-0.080402
2.114560e-05,-0.080402
2.114800e-05,-0.080402
2.115040e-05,-0.080402
2.115280e-05,-0.080402
2.115520e-05,-0.080402
2.115760e-05,-0.080402
2.116000e-05,-0.080402
2.116240e-05,-0.080402
2.116480e-05,-0.080402
2.116720e-05,-0.080402
2.116960e-05,-0.080402
2.117200e-05,-0.080402
2.117440e-05,-0.080402
2.117680e-05,-0.080402
2.117920e-05,-0.080402
2.118160e-05,-0.080402
2.118400e-05,-0.080402
2.118640e-05,-0.080402
2.118880e-05,-0.160804
2.119120e-05,-0.080402
2.119360e-05,-0.080402
2.119600e-05,-0.080402
2.119840e-05,-0.080402
2.120080e-05,-0.080402
2.120320e-05,-0.080402
2.120560e-05,-0.080402
2.120800e-05,-0.080402
2.121040e-05,-0.080402
2.121280e-05,-0.080402
2.121520e-05,-0.080402
2.121760e-05,-0.080402
2.122000e-05,-0.080402
2.122240e-05,-0.080402
2.122480e-05,-0.080402
2.122720e-05,-0.080402
2.122960e-05,-0.080402
2.123200e-05,-0.080402
2.123440e-05,-0.080402
2.123680e-05,-0.080402
2.123920e-05,-0.080402
2.124160e-05,-0.080402
2.124400e-05,-0.160804
2.124640e-05,-0.160804
2.124880e-05,-0.160804
2.125120e-05,-0.160804
2.125360e-05,-0.080402
2.125600e-05,-0.080402
2.125840e-05,-0.080402
2.126080e-05,-0.080402
2.126320e-05,-0.080402
2.126560e-05,-0.080402
2.126800e-05,-0.080402
2.127040e-05,-0.080402
2.127280e-05,-0.080402
2.127520e-05,-0.160804
2.127760e-05,-0.080402
2.128000e-05,-0.080402
2.128240e-05,-0.080402
2.128480e-05,-0.080402
2.128720e-05,-0.080402
2.128960e-05,-0.080402
2.129200e-05,-0.080402
2.129440e-05,-0.080402
2.129680e-05,-0.160804
2.129920e-05,-0.160804
2.130160e-05,-0.080402
2.130400e-05,-0.080402
2.130640e-05,-0.080402
2.130880e-05,-0.080402
2.131120e-05,-0.080402
2.131360e-05,-0.080402
2.131600e-05,-0.160804
2.131840e-05,-0.080402
2.132080e-05,-0.080402
2.132320e-05,-0.080402
2.132560e-05,-0.080402
2.132800e-05,-0.160804
2.133040e-05,-0.080402
2.133280e-05,-0.080402
2.133520e-05,-0.160804
2.133760e-05,-0.080402
2.134000e-05,-0.080402
2.134240e-05,-0.080402
2.134480e-05,-0.080402
2.134720e-05,-0.080402
2.134960e-05,-0.080402
2.135200e-05,-0.080402
2.135440e-05,-0.080402
2.135680e-05,-0.080402
2.135920e-05,-0.080402
2.136160e-05,-0.080402
2.136400e-05,-0.080402
2.136640e-05,-0.080402
2.136880e-05,-0.080402
2.137120e-05,-0.080402
2.137360e-05,-0.080402
2.137600e-05,-0.080402
2.137840e-05,-0.080402
2.138080e-05,-0.080402
2.138320e-05,-0.080402
2.138560e-05,-0.080402
2.138800e-05,-0.080402
2.139040e-05,-0.080402
2.139280e-05,-0.080402
2.139520e-05,-0.080402
2.139760e-05,-0.080402
2.140000e-05,-0.080402
2.140240e-05,-0.080402
2.140480e-05,-0.080402
2.140720e-05,-0.080402
2.140960e-05,-0.080402
2.141200e-05,-0.080402
2.141440e-05,-0.080402
2.141680e-05,-0.080402
2.141920e-05,-0.080402
2.142160e-05,-0.080402
2.142400e-05,-0.080402
2.142640e-05,-0.080402
2.142880e-05,-0.080402
2.143120e-05,-0.080402
2.143360e-05,-0.080402
2.143600e-05,-0.160804
2.143840e-05,-0.160804
2.144080e-05,-0.080402
2.144320e-05,-0.080402
2.144560e-05,-0.080402
2.144800e-05,-0.080402
2.145040e-05,-0.080402
2.145280e-05,-0.080402
2.145520e-05,-0.080402
2.145760e-05,-0.080402
2.146000e-05,-0.080402
2.146240e-05,-0.080402
2.146480e-05,-0.080402
2.146720e-05,-0.080402
2.146960e-05,-0.080402
2.147200e-05,-0.080402
2.147440e-05,-0.080402
2.147680e-05,-0.080402
2.147920e-05,-0.080402
2.148160e-05,-0.080402
2.148400e-05,-0.080402
2.148640e-05,-0.080402
2.148880e-05,-0.080402
2.149120e-05,-0.080402
2.149360e-05,-0.080402
2.149600e-05,-0.080402
2.149840e-05,-0.080402
2.150080e-05,-0.080402
2.150320e-05,-0.080402
2.150560e-05,-0.080402
2.150800e-05,-0.080402
2.151040e-05,-0.080402
2.151280e-05,-0.080402
2.151520e-05,-0.080402
2.151760e-05,-0.080402
2.152000e-05,-0.080402
2.152240e-05,-0.080402
2.152480e-05,-0.080402
2.152720e-05,-0.080402
2.152960e-05,-0.080402
2.153200e-05,-0.080402
2.153440e-05,-0.080402
2.153680e-05,-0.080402
2.153920e-05,-0.080402
2.154160e-05,-0.080402
2.154400e-05,-0.080402
2.154640e-05,-0.080402
2.154880e-05,-0.080402
2.155120e-05,-0.080402
2.155360e-05,-0.080402
2.155600e-05,-0.080402
2.155840e-05,-0.080402
2.156080e-05,-0.080402
2.156320e-05,-0.080402
2.156560e-05,-0.080402
2.156800e-05,-0.080402
2.157040e-05,-0.080402
2.157280e-05,-0.080402
2.157520e-05,-0.080402
2.157760e-05,-0.080402
2.158000e-05,-0.080402
2.158240e-05,-0.080402
2.158480e-05,-0.080402
2.158720e-05,-0.080402
2.158960e-05,-0.080402
2.159200e-05,-0.080402
2.159440e-05,-0.080402
2.159680e-05,-0.080402
2.159920e-05,-0.080402
2.160160e-05,-0.080402
2.160400e-05,-0.080402
2.160640e-05,-0.080402
2.160880e-05,-0.080402
2.161120e-05,-0.080402
2.161360e-05,-0.080402
2.161600e-05,-0.080402
2.161840e-05,-0.080402
2.162080e-05,-0.080402
2.162320e-05,-0.080402
2.162560e-05,-0.080402
2.162800e-05,-0.080402
2.163040e-05,-0.080402
2.163280e-05,-0.080402
2.163520e-05,-0.080402
2.163760e-05,-0.080402
2.164000e-05,-0.080402
2.164240e-05,-0.080402
2.164480e-05,-0.080402
2.164720e-05,-0.080402
2.164960e-05,-0.080402
2.165200e-05,-0.080402
2.165440e-05,-0.080402
2.165680e-05,-0.080402
2.165920e-05,-0.080402
2.166160e-05,-0.080402
2.166400e-05,-0.080402
2.166640e-05,-0.080402
2.166880e-05,-0.080402
2.167120e-05,-0.080402
2.167360e-05,-0.080402
2.167600e-05,-0.080402
2.167840e-05,-0.080402
2.168080e-05,-0.080402
2.168320e-05,-0.080402
2.168560e-05,-0.080402
2.168800e-05,-0.080402
2.169040e-05,-0.080402
2.169280e-05,-0.080402
2.169520e-05,-0.080402
2.169760e-05,-0.080402
2.170000e-05,-0.080402
2.170240e-05,-0.080402
2.170480e-05,-0.080402
2.170720e-05,-0.080402
2.170960e-05,-0.080402
2.171200e-05,-0.080402
2.171440e-05,-0.080402
2.171680e-05,-0.080402
2.171920e-05,-0.080402
2.172160e-05,-0.080402
2.172400e-05,-0.080402
2.172640e-05,-0.080402
2.172880e-05,-0.080402
2.173120e-05,-0.080402
2.173360e-05,-0.080402
2.173600e-05,-0.080402
2.173840e-05,-0.080402
2.174080e-05,-0.080402
2.174320e-05,-0.080402
2.174560e-05,-0.160804
2.174800e-05,-0.160804
2.175040e-05,-0.160804
2.175280e-05,-0.080402
2.175520e-05,-0.160804
2.175760e-05,-0.080402
2.176000e-05,-0.080402
2.176240e-05,-0.080402
2.176480e-05,-0.080402
2.176720e-05,-0.080402
2.176960e-05,-0.080402
2.177200e-05,-0.080402
2.177440e-05,-0.080402
2.177680e-05,-0.080402
2.177920e-05,-0.080402
2.178160e-05,-0.080402
2.178400e-05,-0.080402
2.178640e-05,-0.080402
2.178880e-05,-0.080402
2.179120e-05,-0.080402
2.179360e-05,-0.080402
2.179600e-05,-0.080402
2.179840e-05,-0.080402
2.180080e-05,-0.080402
2.180320e-05,-0.080402
2.180560e-05,-0.080402
2.180800e-05,-0.080402
2.181040e-05,-0.080402
2.181280e-05,-0.080402
2.181520e-05,-0.080402
2.181760e-05,-0.080402
2.182000e-05,-0.080402
2.182240e-05,-0.080402
2.182480e-05,-0.080402
2.182720e-05,-0.080402
2.182960e-05,-0.080402
2.183200e-05,-0.080402
2.183440e-05,-0.080402
2.183680e-05,-0.080402
2.183920e-05,-0.080402
2.184160e-05,-0.080402
2.184400e-05,-0.080402
2.184640e-05,-0.080402
2.184880e-05,-0.080402
2.185120e-05,-0.080402
2.185360e-05,-0.080402
2.185600e-05,-0.080402
2.185840e-05,-0.080402
2.186080e-05,-0.080402
2.186320e-05,-0.080402
2.186560e-05,-0.080402
2.186800e-05,-0.080402
2.187040e-05,-0.080402
2.187280e-05,-0.080402
2.187520e-05,-0.080402
2.187760e-05,-0.080402
2.188000e-05,-0.080402
2.188240e-05,-0.080402
2.188480e-05,-0.080402
2.188720e-05,-0.080402
2.188960e-05,-0.080402
2.189200e-05,-0.080402
2.189440e-05,-0.080402
2.189680e-05,-0.080402
2.189920e-05,-0.080402
2.190160e-05,-0.080402
2.190400e-05,-0.080402
2.190640e-05,-0.080402
2.190880e-05,-0.080402
2.191120e-05,-0.080402
2.191360e-05,-0.080402
2.191600e-05,-0.080402
2.191840e-05,-0.160804
2.192080e-05,-0.160804
2.192320e-05,-0.080402
2.192560e-05,-0.080402
2.192800e-05,-0.080402
2.193040e-05,-0.160804
2.193280e-05,-0.080402
2.193520e-05,-0.080402
2.193760e-05,-0.160804
2.194000e-05,-0.160804
2.194240e-05,-0.160804
2.194480e-05,-0.080402
2.194720e-05,-0.080402
2.194960e-05,-0.080402
2.195200e-05,-0.080402
2.195440e-05,-0.080402
2.195680e-05,-0.080402
2.195920e-05,-0.080402
2.196160e-05,-0.080402
2.196400e-05,-0.080402
2.196640e-05,-0.080402
2.196880e-05,-0.080402
2.197120e-05,-0.080402
2.197360e-05,-0.080402
2.197600e-05,-0.080402
2.197840e-05,-0.080402
2.198080e-05,-0.080402
2.198320e-05,-0.080402
2.198560e-05,-0.080402
2.198800e-05,-0.080402
2.199040e-05,-0.080402
2.199280e-05,-0.080402
2.199520e-05,-0.080402
